#
# Shellcode detector
#
Executed before
0x77CC6CFD::ntdll.dll  64 A3 00 00 00 00       mov dword ptr fs:[0x0], eax
0x77CC6D03::ntdll.dll  C3                      ret 
0x77CCEB11::ntdll.dll  8B 45 08                mov eax, dword ptr [ebp+0x8]
0x77CCEB14::ntdll.dll  89 45 80                mov dword ptr [ebp-0x80], eax
0x77CCEB17::ntdll.dll  8B 75 0C                mov esi, dword ptr [ebp+0xc]
0x77CCEB1A::ntdll.dll  8B 45 14                mov eax, dword ptr [ebp+0x14]
0x77CCEB1D::ntdll.dll  89 45 88                mov dword ptr [ebp-0x78], eax
0x77CCEB20::ntdll.dll  F7 45 18 FE FF FF FF    test dword ptr [ebp+0x18], 0xfffffffe
0x77CCEB27::ntdll.dll  0F 85 D4 DD 01 00       jnz 0x77cec901
0x77CCEB2D::ntdll.dll  33 C0                   xor eax, eax
0x77CCEB2F::ntdll.dll  8D 7D 9C                lea edi, ptr [ebp-0x64]
0x77CCEB32::ntdll.dll  AB                      stosd dword ptr [edi]
0x77CCEB33::ntdll.dll  33 DB                   xor ebx, ebx
0x77CCEB35::ntdll.dll  89 5D 98                mov dword ptr [ebp-0x68], ebx
0x77CCEB38::ntdll.dll  A1 EC BD CC 77          mov eax, dword ptr [0x77ccbdec]
0x77CCEB3D::ntdll.dll  83 C8 01                or eax, 0x1
0x77CCEB40::ntdll.dll  85 F6                   test esi, esi
0x77CCEB42::ntdll.dll  0F 84 6E 7B FC FF       jz 0x77c966b6
0x77CCEB48::ntdll.dll  85 05 70 D7 D4 77       test dword ptr [0x77d4d770], eax
0x77CCEB4E::ntdll.dll  0F 85 B7 DD 01 00       jnz 0x77cec90b
0x77CCEB54::ntdll.dll  A1 70 D7 D4 77          mov eax, dword ptr [0x77d4d770]
0x77CCEB59::ntdll.dll  85 05 F0 BD CC 77       test dword ptr [0x77ccbdf0], eax
0x77CCEB5F::ntdll.dll  0F 85 CA DD 01 00       jnz 0x77cec92f
0x77CCEB65::ntdll.dll  0F B7 0E                movzx ecx, word ptr [esi]
0x77CCEB68::ntdll.dll  83 C1 03                add ecx, 0x3
0x77CCEB6B::ntdll.dll  81 F9 FE FF 00 00       cmp ecx, 0xfffe
0x77CCEB71::ntdll.dll  0F 87 BE DD 01 00       jnbe 0x77cec935
0x77CCEB77::ntdll.dll  83 F9 40                cmp ecx, 0x40
0x77CCEB7A::ntdll.dll  0F 87 D4 C8 FB FF       jnbe 0x77c8b454
0x77CCEB80::ntdll.dll  8D 5D A4                lea ebx, ptr [ebp-0x5c]
